season,team_name_bet,opp_team_name_bet,team_goals,opp_team_goals,Bet365_win_odds,Bet365_draw_odds,Bet365_lose_odds,bet_merge_code
20222023,Wolves,Leicester,0.0,4.0,2.25,3.25,3.25,20222023_8_6_Home
20222023,Tottenham,Newcastle,1.0,2.0,2.05,3.5,3.5,20222023_17_15_Home
20222023,West Ham,Bournemouth,2.0,0.0,1.55,4.0,6.0,20222023_9_24_Home
20222023,Leicester,Man City,0.0,1.0,10.0,6.5,1.25,20222023_6_4_Home
20222023,Bournemouth,Tottenham,2.0,3.0,5.0,3.8,1.7,20222023_24_17_Home
20222023,Brentford,Wolves,1.0,1.0,2.2,3.4,3.3,20222023_21_8_Home
20222023,Brighton,Chelsea,4.0,1.0,3.0,3.3,2.4,20222023_19_1_Home
20222023,Crystal Palace,Southampton,1.0,0.0,1.9,3.6,4.0,20222023_16_7_Home
20222023,Newcastle,Aston Villa,4.0,0.0,1.8,3.75,4.5,20222023_15_20_Home
20222023,Fulham,Everton,0.0,0.0,2.37,3.4,3.0,20222023_18_5_Home
20222023,Liverpool,Leeds,1.0,2.0,1.3,6.0,9.0,20222023_3_10_Home
20222023,Arsenal,Nott'm Forest,5.0,0.0,1.2,7.0,12.0,20222023_11_25_Home
20222023,Man United,West Ham,1.0,0.0,1.66,4.0,4.8,20222023_14_9_Home
20222023,Leeds,Bournemouth,4.0,3.0,1.72,3.8,4.75,20222023_10_24_Home
20222023,Man City,Fulham,2.0,1.0,1.11,9.5,19.0,20222023_4_18_Home
20222023,Nott'm Forest,Brentford,2.0,2.0,2.75,3.3,2.6,20222023_25_21_Home
20222023,Wolves,Brighton,2.0,3.0,3.3,3.3,2.25,20222023_8_19_Home
20222023,Everton,Leicester,0.0,2.0,2.4,3.3,3.0,20222023_5_6_Home
20222023,Chelsea,Arsenal,0.0,1.0,2.55,3.4,2.7,20222023_1_11_Home
20222023,Aston Villa,Man United,3.0,1.0,3.3,3.8,2.1,20222023_20_14_Home
20222023,Southampton,Newcastle,1.0,4.0,4.0,3.6,1.9,20222023_7_15_Home
20222023,West Ham,Crystal Palace,1.0,2.0,1.9,3.4,4.2,20222023_9_16_Home
20222023,Tottenham,Liverpool,1.0,2.0,3.3,3.6,2.1,20222023_17_3_Home
20222023,Man City,Brentford,1.0,2.0,1.14,8.0,17.0,20222023_4_21_Home
20222023,Bournemouth,Everton,3.0,0.0,2.8,3.25,2.6,20222023_24_5_Home
20222023,Liverpool,Southampton,3.0,1.0,1.25,6.5,11.0,20222023_3_7_Home
20222023,Nott'm Forest,Crystal Palace,1.0,0.0,3.1,3.1,2.45,20222023_25_16_Home
20222023,Tottenham,Leeds,4.0,3.0,1.65,4.2,4.75,20222023_17_10_Home
20222023,West Ham,Leicester,0.0,2.0,2.05,3.4,3.75,20222023_9_6_Home
20222023,Newcastle,Chelsea,1.0,0.0,2.35,3.4,3.0,20222023_15_1_Home
20222023,Wolves,Arsenal,0.0,2.0,6.0,4.2,1.55,20222023_8_11_Home
20222023,Brighton,Aston Villa,1.0,2.0,1.83,3.75,4.2,20222023_19_20_Home
20222023,Fulham,Man United,1.0,2.0,3.8,3.8,1.9,20222023_18_14_Home
20222023,Brentford,Tottenham,2.0,2.0,4.0,3.6,1.91,20222023_21_17_Home
20222023,Crystal Palace,Fulham,0.0,3.0,2.05,3.6,3.5,20222023_16_18_Home
20222023,Everton,Wolves,1.0,2.0,2.3,3.25,3.2,20222023_5_8_Home
20222023,Leicester,Newcastle,0.0,3.0,3.25,3.5,2.2,20222023_6_15_Home
20222023,Southampton,Brighton,1.0,3.0,3.3,3.5,2.15,20222023_7_19_Home
20222023,Aston Villa,Liverpool,1.0,3.0,4.75,4.0,1.7,20222023_20_3_Home
20222023,Arsenal,West Ham,3.0,1.0,1.5,4.33,6.5,20222023_11_9_Home
