,code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,opp_team,opp_team_score,team,team_score,stats,team_difficulty,opp_team_difficulty,code,web_name,team,element_type,status,now_cost,transfers_in,transfers_in_event,transfers_out,transfers_out_event,event_points,goals_scored,assists,clean_sheets,goals_conceded,total_points,minutes,points_per_game,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,creativity_rank,threat_rank,ict_index_rank,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,points_per_game_rank,selected_rank,starts_per_90,clean_sheets_per_90,now_datetime_UTC,current_gw,next_gw,code,id,name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,player_code,team_id
50,2367584,5.0,False,False,47,2023-09-18T18:45:00Z,0,False,False,6,,16,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2367570,4.0,False,False,33,2023-09-02T16:30:00Z,0,False,False,5,,15,,{},3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2367884,35.0,False,False,347,2024-04-27T14:00:00Z,0,False,False,13,,16,,{},5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2367847,31.0,False,False,310,2024-04-03T18:45:00Z,0,False,False,15,,9,,{},4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2367757,22.0,False,False,220,2024-01-31T20:00:00Z,0,False,False,13,,6,,{},5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2367711,18.0,False,False,174,2023-12-23T15:00:00Z,0,False,False,1,,11,,{},4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2367888,36.0,False,False,351,2024-05-04T14:00:00Z,0,False,False,1,,3,,{},4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2367674,14.0,False,False,137,2023-12-02T15:00:00Z,0,False,False,18,,13,,{},3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2367770,24.0,False,False,233,2024-02-10T15:00:00Z,0,False,False,10,,3,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2367778,25.0,False,False,241,2024-02-17T15:00:00Z,0,False,False,4,,11,,{},3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2367698,17.0,False,False,162,2023-12-16T15:00:00Z,0,False,False,3,,12,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2367761,23.0,False,False,224,2024-02-03T15:00:00Z,0,False,False,5,,8,,{},3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2367705,17.0,False,False,168,2023-12-16T15:00:00Z,0,False,False,15,,10,,{},4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2367646,11.0,False,False,109,2023-11-04T15:00:00Z,0,False,False,17,,20,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2367748,22.0,False,False,211,2024-01-30T19:45:00Z,0,False,False,15,,2,,{},4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2367857,32.0,False,False,320,2024-04-06T14:00:00Z,0,False,False,19,,20,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2367789,26.0,False,False,251,2024-02-24T15:00:00Z,0,False,False,15,,1,,{},4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2367719,19.0,False,False,181,2023-12-26T15:00:00Z,0,False,False,1,,19,,{},4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2367706,17.0,False,False,169,2023-12-16T15:00:00Z,0,False,False,16,,18,,{},2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2367539,1.0,False,False,3,2023-08-12T14:00:00Z,0,False,False,3,,19,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2367747,21.0,False,False,210,2024-01-13T15:00:00Z,0,False,False,19,,17,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2367600,7.0,False,False,63,2023-09-30T14:00:00Z,0,False,False,12,,9,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2367652,12.0,False,False,115,2023-11-11T15:00:00Z,0,False,False,7,,13,,{},3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2367551,2.0,False,False,14,2023-08-19T14:00:00Z,0,False,False,3,,11,,{},2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2367636,10.0,False,False,99,2023-10-28T14:00:00Z,0,False,False,19,,9,,{},3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2367875,34.0,False,False,338,2024-04-20T14:00:00Z,0,False,False,6,,17,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2367665,13.0,False,False,128,2023-11-25T15:00:00Z,0,False,False,5,,16,,{},3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2367734,20.0,False,False,197,2023-12-30T15:00:00Z,0,False,False,14,,16,,{},3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2367798,27.0,False,False,261,2024-03-02T15:00:00Z,0,False,False,4,,7,,{},3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2367913,38.0,False,False,376,2024-05-19T15:00:00Z,0,False,False,8,,2,,{},2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2367624,9.0,False,False,87,2023-10-21T14:00:00Z,0,False,False,15,,8,,{},4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2367613,8.0,False,False,76,2023-10-07T14:00:00Z,0,False,False,17,,10,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2367810,28.0,False,False,272,2024-03-09T15:00:00Z,0,False,False,18,,2,,{},3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2367863,33.0,False,False,326,2024-04-13T14:00:00Z,0,False,False,11,,8,,{},4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2367614,8.0,False,False,77,2023-10-07T14:00:00Z,0,False,False,18,,12,,{},3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2367788,26.0,False,False,253,2024-02-24T15:00:00Z,0,False,False,3,,13,,{},2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2367816,28.0,False,False,279,2024-03-09T15:00:00Z,0,False,False,19,,6,,{},3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2367583,5.0,False,False,46,2023-09-17T15:30:00Z,0,False,False,4,,15,,{},3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2367883,35.0,False,False,346,2024-04-27T14:00:00Z,0,False,False,17,,15,,{},2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2367572,4.0,False,False,35,2023-09-02T14:00:00Z,0,False,False,7,,16,,{},3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2367911,38.0,False,False,374,2024-05-19T15:00:00Z,0,False,False,16,,6,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2367649,12.0,False,False,111,2023-11-11T15:00:00Z,0,False,False,6,,1,,{},2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2367583,5.0,False,False,46,2023-09-17T15:30:00Z,0,False,False,15,,4,,{},4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2367592,6.0,False,False,55,2023-09-23T14:00:00Z,0,False,False,7,,2,,{},3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2367669,14.0,False,False,131,2023-12-02T15:00:00Z,0,False,False,20,,1,,{},2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2367558,3.0,False,False,22,2023-08-26T11:30:00Z,0,False,False,18,,3,,{},3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2367688,16.0,False,False,151,2023-12-09T15:00:00Z,0,False,False,1,,2,,{},4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2367880,35.0,False,False,343,2024-04-27T14:00:00Z,0,False,False,9,,4,,{},2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2367689,16.0,False,False,152,2023-12-09T15:00:00Z,0,False,False,5,,6,,{},3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2367614,8.0,False,False,77,2023-10-07T14:00:00Z,0,False,False,12,,18,,{},2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2367844,31.0,False,False,307,2024-04-03T18:45:00Z,0,False,False,14,,7,,{},3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2367835,30.0,False,False,298,2024-03-30T15:00:00Z,0,False,False,8,,16,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2367591,6.0,False,False,54,2023-09-23T19:00:00Z,0,False,False,14,,6,,{},3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2367725,19.0,False,False,188,2023-12-26T15:00:00Z,0,False,False,2,,14,,{},3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2367547,1.0,False,False,10,2023-08-14T19:00:00Z,0,False,False,20,,14,,{},2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2367542,1.0,False,False,5,2023-08-12T14:00:00Z,0,False,False,10,,9,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2367724,19.0,False,False,187,2023-12-26T15:00:00Z,0,False,False,13,,9,,{},5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
