opp_team_id,team_id,fixture_code,event,finished,finished_provisional,fixture_id,kickoff_time,minutes_fixtures,provisional_start_time,started,opp_team_score,team_score,team_difficulty,opp_team_difficulty,team_code,team_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,opp_team_code,opp_team_name,opp_strength,opp_strength_overall_home,opp_strength_overall_away,opp_strength_attack_home,opp_strength_attack_away,opp_strength_defence_home,opp_strength_defence_away,fbref_id,code,web_name,team_id_player,element_type,status,now_cost,transfers_in,transfers_in_event,transfers_out,transfers_out_event,event_points,goals_scored,assists,clean_sheets,goals_conceded,total_points,minutes,points_per_game,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,creativity_rank,threat_rank,ict_index_rank,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,points_per_game_rank,selected_rank,starts_per_90,clean_sheets_per_90,now_datetime_utc,current_gw,next_gw
1,16,2367540,1.0,True,True,2,2023-08-12T12:00:00Z,90,False,True,2.0,1.0,4,2,17,Nott'm Forest,3,1050,1100,1050,1110,1050,1120,3,Arsenal,4,1230,1285,1250,1250,1210,1320,a2d873dd,201440,Ui-jo,16,4,a,45,2123,2123,7262,7262,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,391,388,358,400,,,,0.0,0.0,0.0,0.0,0.0,0.0,441,143,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
1,16,2367540,1.0,True,True,2,2023-08-12T12:00:00Z,90,False,True,2.0,1.0,4,2,17,Nott'm Forest,3,1050,1100,1050,1110,1050,1120,3,Arsenal,4,1230,1285,1250,1250,1210,1320,dd323728,215136,Williams,16,2,a,45,877,877,1324,1324,1,0,0,0,0,1,18,1.0,0,0,0,0,0,0,0,4,3.4,0.1,0.0,0.4,0,0.00,0.00,0.00,0.46,191,209,365,220,,3.0,,0.0,0.0,0.0,0.0,2.3,0.0,196,287,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
1,16,2367540,1.0,True,True,2,2023-08-12T12:00:00Z,90,False,True,2.0,1.0,4,2,17,Nott'm Forest,3,1050,1100,1050,1110,1050,1120,3,Arsenal,4,1230,1285,1250,1250,1210,1320,4e9a0555,60689,Wood,16,4,a,50,1804,1804,5400,5400,1,0,0,0,0,1,1,1.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.08,511,511,493,519,,,,0.0,0.0,0.0,0.0,7.2,0.0,225,222,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
1,16,2367540,1.0,True,True,2,2023-08-12T12:00:00Z,90,False,True,2.0,1.0,4,2,17,Nott'm Forest,3,1050,1100,1050,1110,1050,1120,3,Arsenal,4,1230,1285,1250,1250,1210,1320,a5212312,208912,Worrall,16,2,a,45,442,442,552,552,1,0,0,0,2,1,89,1.0,0,0,0,0,0,0,0,10,16.2,0.0,2.0,1.8,1,0.00,0.00,0.00,0.75,91,392,141,165,,,,0.0,0.0,0.0,0.0,0.76,2.02,195,450,1.01,0.0,2023-08-16 21:25:54.992707+00:00,1,2
1,16,2367540,1.0,True,True,2,2023-08-12T12:00:00Z,90,False,True,2.0,1.0,4,2,17,Nott'm Forest,3,1050,1100,1050,1110,1050,1120,3,Arsenal,4,1230,1285,1250,1250,1210,1320,c1fe2a48,204968,Yates,16,3,a,50,165,165,311,311,2,0,0,0,2,2,90,2.0,0,0,0,0,0,0,0,2,7.6,2.3,0.0,1.0,1,0.00,0.01,0.01,0.83,164,151,546,197,,,,0.0,0.0,0.01,0.01,0.83,2.0,134,528,1.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
1,16,2367540,1.0,True,True,2,2023-08-12T12:00:00Z,90,False,True,2.0,1.0,4,2,17,Nott'm Forest,3,1050,1100,1050,1110,1050,1120,3,Arsenal,4,1230,1285,1250,1250,1210,1320,246d153b,159506,Aina,16,2,a,45,1918,1918,1097,1097,0,0,0,0,2,0,71,0.0,0,0,0,1,0,0,0,9,0.0,0.0,0.0,0.0,1,0.02,0.00,0.02,0.38,372,368,334,380,,,,0.03,0.0,0.0,0.03,0.48,2.54,420,399,1.27,0.0,2023-08-16 21:25:54.992707+00:00,1,2
1,16,2367540,1.0,True,True,2,2023-08-12T12:00:00Z,90,False,True,2.0,1.0,4,2,17,Nott'm Forest,3,1050,1100,1050,1110,1050,1120,3,Arsenal,4,1230,1285,1250,1250,1210,1320,,450197,G.Shelvey,16,1,a,40,223,223,189,189,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,309,301,258,318,,,,0.0,0.0,0.0,0.0,0.0,0.0,364,510,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
1,16,2367540,1.0,True,True,2,2023-08-12T12:00:00Z,90,False,True,2.0,1.0,4,2,17,Nott'm Forest,3,1050,1100,1050,1110,1050,1120,3,Arsenal,4,1230,1285,1250,1250,1210,1320,,547659,Powell,16,2,a,40,502,502,431,431,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,329,320,279,337,,,,0.0,0.0,0.0,0.0,0.0,0.0,382,440,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,862a1c15,179018,Almirón,15,3,a,65,13171,13171,67641,67641,2,0,0,0,1,2,85,2.0,0,0,0,0,0,0,0,20,13.6,23.5,13.0,5.0,1,0.07,0.07,0.14,1.58,110,42,72,76,3.0,,,0.07,0.0,0.07,0.14,1.67,1.06,169,51,1.06,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,de31038e,215379,Anderson,15,3,a,45,11436,11436,35272,35272,1,0,0,0,0,1,1,1.0,0,0,0,0,0,0,0,3,1.0,0.1,0.0,0.1,0,0.00,0.00,0.00,0.24,211,210,366,230,,,,0.0,0.0,0.0,0.0,21.6,0.0,197,64,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,b391383a,441024,Ashby,15,2,u,40,0,0,818,818,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,302,294,251,311,,,,0.0,0.0,0.0,0.0,0.0,0.0,357,559,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,ccce7025,220237,Botman,15,2,a,45,93551,93551,50678,50678,5,0,1,0,1,5,90,5.0,0,0,0,1,0,0,1,27,35.4,11.8,8.0,5.5,1,0.07,0.25,0.32,1.90,21,94,89,63,,,,0.07,0.0,0.25,0.32,1.9,1.0,47,19,1.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,82518f62,208706,Bruno G.,15,3,a,60,11189,11189,35674,35674,1,0,0,0,1,1,84,1.0,0,0,0,1,0,0,0,6,11.4,2.3,16.0,3.0,1,0.09,0.03,0.12,1.58,127,152,64,117,,,,0.1,0.0,0.03,0.13,1.69,1.07,271,100,1.07,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,b2d31e83,78916,Burn,15,2,a,45,9328,9328,16686,16686,2,0,0,0,1,2,90,2.0,0,0,0,0,0,0,0,9,21.4,1.3,9.0,3.2,1,0.16,0.01,0.17,1.90,65,167,81,108,,,,0.16,0.0,0.01,0.17,1.9,1.0,98,98,1.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,cde3309f,59735,Darlow,15,1,u,40,0,0,233,233,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,233,223,180,242,,,,0.0,0.0,0.0,0.0,0.0,0.0,290,606,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,3a949a25,67089,Dubravka,15,1,a,40,1821,1821,5810,5810,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,235,225,182,244,,,,0.0,0.0,0.0,0.0,0.0,0.0,292,153,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,d56543a0,90105,Fraser,15,3,a,50,128,128,669,669,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,519,519,501,527,,,,0.0,0.0,0.0,0.0,0.0,0.0,554,503,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,012f440e,81441,Gillespie,15,1,a,40,121,121,387,387,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,237,227,184,246,,,,0.0,0.0,0.0,0.0,0.0,0.0,294,461,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,2bd83368,232826,Gordon,15,3,a,55,9814,9814,3894,3894,4,0,1,0,1,4,67,4.0,0,0,0,1,0,0,0,18,21.8,29.5,5.0,5.6,1,0.07,0.36,0.43,1.50,62,29,117,62,,,,0.09,0.0,0.48,0.57,2.01,1.34,65,224,1.34,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,c951a6df,153127,Hayden,15,3,a,45,217,217,628,628,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,368,364,329,376,,,,0.0,0.0,0.0,0.0,0.0,0.0,416,492,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,989d5705,83314,Hendrick,15,3,a,45,290,290,673,673,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,347,341,304,355,,,,0.0,0.0,0.0,0.0,0.0,0.0,398,481,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,8e92be30,219168,Isak,15,4,a,76,408423,408423,49893,49893,13,2,0,0,1,13,67,13.0,0,0,0,0,0,0,3,51,68.4,2.7,61.0,13.2,1,0.76,0.02,0.78,1.50,3,148,6,12,,,2.0,1.02,0.0,0.03,1.05,2.01,1.34,3,14,1.34,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,c17bfb65,180974,Joelinton,15,3,a,60,3988,3988,11061,11061,2,0,0,0,1,2,90,2.0,0,0,0,0,0,0,0,13,9.8,7.4,8.0,2.5,1,0.12,0.16,0.28,1.90,141,123,93,136,,,3.0,0.12,0.0,0.16,0.28,1.9,1.0,163,161,1.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,77cf6852,111773,Krafth,15,2,i,45,23,23,360,360,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,358,354,319,366,,,,0.0,0.0,0.0,0.0,0.0,0.0,406,609,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,a8a80be7,564510,Kuol,15,3,u,45,0,0,258,258,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,498,498,478,506,,,,0.0,0.0,0.0,0.0,0.0,0.0,537,640,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,450ab6fc,101148,Lascelles,15,2,a,40,1295,1295,3320,3320,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,240,231,188,249,,,,0.0,0.0,0.0,0.0,0.0,0.0,296,244,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,efb9215a,194799,J.Lewis,15,2,u,40,0,0,290,290,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,267,258,215,276,,,,0.0,0.0,0.0,0.0,0.0,0.0,323,619,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,a2b105e0,180135,Longstaff,15,3,a,50,204,204,2399,2399,1,0,0,0,0,1,5,1.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.32,547,548,533,554,,,,0.0,0.0,0.0,0.0,5.76,0.0,236,329,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,758dd7f0,109528,Manquillo,15,2,i,40,56,56,1047,1047,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,248,239,196,257,,,,0.0,0.0,0.0,0.0,0.0,0.0,304,506,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,de112b84,114243,J.Murphy,15,3,a,50,2200,2200,2057,2057,4,0,1,0,0,4,4,4.0,0,0,0,0,0,0,0,19,21.6,26.3,2.0,5.0,0,0.00,0.29,0.29,0.32,63,34,148,74,,,,0.0,0.0,6.52,6.52,7.2,0.0,60,310,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,4b40d9ca,98747,Pope,15,1,a,55,17144,17144,51150,51150,3,0,0,0,1,3,90,3.0,0,0,0,0,0,5,0,18,33.8,0.0,0.0,3.4,1,0.00,0.00,0.00,1.90,26,608,602,106,,,,0.0,5.0,0.0,0.0,1.9,1.0,79,35,1.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,71ef519e,56983,Ritchie,15,3,a,45,765,765,1934,1934,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,341,333,295,349,,,,0.0,0.0,0.0,0.0,0.0,0.0,393,352,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,2b16cb1a,170137,Saint-Maximin,15,3,u,60,0,0,3051,3051,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,643,646,642,646,,,,0.0,0.0,0.0,0.0,0.0,0.0,646,498,0.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
2,15,2367543,1.0,True,True,6,2023-08-12T16:30:00Z,90,False,True,1.0,5.0,3,4,4,Newcastle,4,1220,1280,1250,1310,1190,1250,7,Aston Villa,3,1115,1175,1130,1190,1100,1160,c8aa95da,119471,Schär,15,2,a,50,8538,8538,13331,13331,2,0,0,0,1,2,90,2.0,0,0,0,0,0,0,0,14,13.2,3.7,0.0,1.7,1,0.00,0.00,0.00,1.90,115,140,513,174,,2.0,4.0,0.0,0.0,0.0,0.0,1.9,1.0,125,119,1.0,0.0,2023-08-16 21:25:54.992707+00:00,1,2
