season,Div,Date,Time,team_name_bet,opp_team_name_bet,team_goals,opp_team_goals,result,HT_team_goals,HT_opp_team_goals,HT_result,Referee,team_shots,opp_team_shots,team_SoT,opp_team_SoT,team_fouls,opp_team_fouls,team_corners,opp_team_corners,team_yellows,opp_team_yellows,team_reds,opp_team_reds,Bet365_win_odds,Bet365_draw_odds,Bet365_lose_odds,Market_max_win_odds,Market_max_draw_odds,Market_max_lose_odds,Market_avg_win_odds,Market_avg_draw_odds,Market_avg_lose_odds,Bet365_over2_5_goals_odds,Bet365_under2_5_goals_odds,Market_max_over2_5_goals_odds,Market_max_under2_5_goals_odds,Market_avg_over2_5_goals_odds,Market_avg_under2_5_goals_odds,venue,bet_team_code_recoded,bet_opp_team_code_recoded,bet_merge_code
20222023,E0,2022-08-20,17:30,Bournemouth,Arsenal,0.0,3.0,A,0.0,2.0,A,C Pawson,6.0,14.0,1.0,6.0,12.0,10.0,3.0,4.0,2.0,1.0,0.0,0.0,8.0,4.75,1.4,8.01,4.9,1.47,7.65,4.7,1.43,1.72,2.1,1.82,2.14,1.76,2.09,Home,24,11,20222023_24_11_Home
20222023,E0,2022-08-21,14:00,Leeds,Chelsea,3.0,0.0,H,2.0,0.0,H,S Attwell,12.0,14.0,6.0,3.0,16.0,15.0,4.0,6.0,0.0,1.0,0.0,1.0,5.75,4.5,1.53,6.23,4.6,1.6,5.93,4.43,1.55,1.66,2.2,1.77,2.32,1.68,2.21,Home,10,1,20222023_10_1_Home
20222023,E0,2022-08-21,14:00,West Ham,Brighton,0.0,2.0,A,0.0,1.0,A,A Taylor,13.0,11.0,3.0,2.0,10.0,7.0,5.0,4.0,2.0,0.0,0.0,0.0,2.3,3.4,3.1,2.42,3.52,3.29,2.32,3.41,3.14,1.99,1.91,2.01,1.93,1.96,1.85,Home,9,19,20222023_9_19_Home
20222023,E0,2022-08-21,16:30,Newcastle,Man City,3.0,3.0,D,2.0,1.0,H,J Gillett,12.0,21.0,6.0,10.0,14.0,7.0,5.0,5.0,4.0,2.0,0.0,0.0,7.5,5.0,1.36,9.5,5.35,1.41,8.67,5.11,1.37,1.66,2.2,1.75,2.42,1.65,2.26,Home,15,4,20222023_15_4_Home
20222023,E0,2022-08-22,20:00,Man United,Liverpool,2.0,1.0,H,1.0,0.0,H,M Oliver,12.0,17.0,4.0,5.0,11.0,7.0,6.0,8.0,3.0,1.0,0.0,0.0,5.25,4.33,1.6,5.6,4.7,1.65,5.22,4.38,1.6,1.5,2.62,1.55,2.69,1.5,2.58,Home,14,3,20222023_14_3_Home
20222023,E0,2022-08-27,12:30,Southampton,Man United,0.0,1.0,A,0.0,0.0,D,A Madley,17.0,11.0,5.0,6.0,4.0,14.0,5.0,3.0,0.0,3.0,0.0,0.0,4.2,4.0,1.8,4.5,4.35,1.85,4.27,4.06,1.8,1.57,2.37,1.66,2.5,1.59,2.39,Home,7,14,20222023_7_14_Home
20222023,E0,2022-08-27,15:00,Brentford,Everton,1.0,1.0,D,0.0,1.0,A,J Brooks,19.0,14.0,5.0,7.0,8.0,8.0,8.0,5.0,2.0,2.0,0.0,0.0,2.0,3.5,3.75,2.16,3.58,3.92,2.06,3.47,3.77,2.06,1.84,2.11,1.85,2.04,1.8,Home,21,5,20222023_21_5_Home
20222023,E0,2022-08-27,15:00,Brighton,Leeds,1.0,0.0,H,0.0,0.0,D,M Salisbury,13.0,10.0,4.0,2.0,10.0,14.0,5.0,3.0,2.0,3.0,0.0,0.0,1.9,3.8,3.8,1.96,3.85,4.24,1.91,3.73,4.04,1.88,2.02,1.91,2.08,1.82,2.01,Home,19,10,20222023_19_10_Home
20222023,E0,2022-08-27,15:00,Chelsea,Leicester,2.0,1.0,H,0.0,0.0,D,P Tierney,7.0,17.0,3.0,5.0,10.0,7.0,3.0,11.0,1.0,2.0,1.0,0.0,1.4,5.0,7.0,1.46,5.2,8.2,1.42,4.93,7.52,1.61,2.3,1.71,2.39,1.64,2.28,Home,1,6,20222023_1_6_Home
20222023,E0,2022-08-27,15:00,Liverpool,Bournemouth,9.0,0.0,H,5.0,0.0,H,S Attwell,19.0,5.0,12.0,2.0,6.0,5.0,8.0,1.0,0.0,1.0,0.0,0.0,1.1,10.0,26.0,1.14,11.0,34.0,1.11,10.17,25.51,1.36,3.2,1.4,3.31,1.36,3.16,Home,3,24,20222023_3_24_Home
