web_name,name,code,22_FPL_code,fbref_id
Colwill,Chelsea,460028,460028,7.01E+12
Cucurella,Chelsea,179268,179268,1daec722
Enzo,Chelsea,448047,448047,5ff4ab71
D.D.Fofana,Chelsea,520295,520295,e82900ef
W.Fofana,Chelsea,444463,444463,132a82f1
Gallagher,Chelsea,232787,232787,c2731c10
Gusto,Chelsea,482609,,d56b9520
Hall,Chelsea,487838,487838,da011f18
Hudson-Odoi,Chelsea,209046,209046,15f3ec41
James,Chelsea,225796,225796,1265a93a
Lukaku,Chelsea,66749,,5eae500a
Madueke,Chelsea,248857,248857,bf34eebd
Mudryk,Chelsea,465920,465920,049a888d
N.Jackson,Chelsea,517052,,9c36ed83
Nkunku,Chelsea,213198,,7c56da38
Pulisic,Chelsea,176413,176413,1bf33a9a
M.Sarr,Chelsea,204727,204727,4315f30d
Slonina,Chelsea,471798,,c55a846e
Sterling,Chelsea,103955,103955,b400bde0
T.Silva,Chelsea,51090,51090,86e7deaf
Ziyech,Chelsea,124183,124183,6622454d
Ângelo,Chelsea,518620,,
Maatsen,Chelsea,441302,,cab9634e
Disasi,Chelsea,220362,,ad82197c
Ugochukwu,Chelsea,503714,,1df4a109
Ahamada,Crystal Palace,466117,466117,a6c58494
Andersen,Crystal Palace,174874,174874,e34fc66d
J.Ayew,Crystal Palace,80146,80146,da052c14
Clyne,Crystal Palace,57328,57328,0442183b
C.Doucouré,Crystal Palace,438464,438464,ce4f40c7
Ebiowei,Crystal Palace,450535,450535,fa9fa773
Edouard,Crystal Palace,199670,199670,0562b7f1
Eze,Crystal Palace,232413,232413,ae4fc6a4
Guaita,Crystal Palace,40836,40836,ab13a5aa
Guéhi,Crystal Palace,209036,209036,d0706b27
Hughes,Crystal Palace,108413,108413,a0666d3e
Johnstone,Crystal Palace,101982,101982,9e5708be
Lerma,Crystal Palace,152551,152551,9b5ce51a
Mateta,Crystal Palace,231747,231747,50e6dc35
Matthews,Crystal Palace,169593,169593,27f4f772
Mitchell,Crystal Palace,244723,244723,5cbd1eb0
O'Brien,Crystal Palace,512462,,25f2ef01
Olise,Crystal Palace,443661,443661,c4486bac
Plange,Crystal Palace,450541,450541,2140e999
C.Richards,Crystal Palace,427623,427623,0a3d6d2b
Riedewald,Crystal Palace,173954,173954,7a1f2c08
Schlupp,Crystal Palace,86417,86417,3312f911
Tomkins,Crystal Palace,49413,49413,e7ca0439
Ward,Crystal Palace,55494,55494,8a7ff278
Whitworth,Crystal Palace,487818,487818,3f847d95
Matheus França,Crystal Palace,536694,,077faf72
