,season,round,kickoff_time,team_name,opp_team_name,value,points_scaled,elo,elo_team,elo_opp
685,20202021,34.0,2021-05-02T13:00:00Z,Newcastle,Arsenal,1.4545454545454546,-1.0961520259174315,"[948.1812814488482, 1002.0985254362315]",948.1812814488482,1002.0985254362315
43761,20202021,34.0,2021-05-02T18:15:00Z,Spurs,Sheffield Utd,7.363636363636363,2.111164968921685,"[1040.857097032057, 897.7137692197675]",1040.857097032057,897.7137692197675
48546,20202021,34.0,2021-05-02T18:15:00Z,Sheffield Utd,Spurs,1.0,-1.3428687178281329,"[892.2336658541774, 1046.3372003976472]",892.2336658541774,1046.3372003976472
58120,20202021,34.0,2021-05-03T17:00:00Z,West Brom,Wolves,3.2,-0.14875992898033852,"[946.1780992016326, 984.499435493431]",946.1780992016326,984.499435493431
53335,20202021,34.0,2021-05-03T17:00:00Z,Wolves,West Brom,3.090909090909091,-0.20797193503890696,"[980.77663620215, 949.9008984929135]",980.77663620215,949.9008984929135
55729,20202021,34.0,2021-05-03T19:15:00Z,Burnley,West Ham,1.8,-0.9086473400652986,"[973.240508696005, 1029.469167736434]",973.240508696005,1029.469167736434
12656,20202021,34.0,2021-05-03T19:15:00Z,West Ham,Burnley,3.8181818181818183,0.1867747720182152,"[1027.0039090635946, 975.7057673688444]",1027.0039090635946,975.7057673688444
27016,20202021,35.0,2021-05-07T19:00:00Z,Newcastle,Leicester,4.363636363636363,0.4828348023110565,"[949.7332009024161, 1036.8592201343972]",949.7332009024161,1036.8592201343972
36587,20202021,35.0,2021-05-07T19:00:00Z,Leicester,Newcastle,2.4545454545454546,-0.5533753037138887,"[1031.052638175941, 955.5397828608724]",1031.052638175941,955.5397828608724
48554,20202021,35.0,2021-05-08T11:30:00Z,Leeds,Spurs,3.6,0.06835075990107857,"[995.576550111363, 1046.9520770523086]",995.576550111363,1046.9520770523086
24625,20202021,35.0,2021-05-08T11:30:00Z,Spurs,Leeds,2.272727272727273,-0.6520619804781691,"[1041.2110458712998, 1001.3175812923716]",1041.2110458712998,1001.3175812923716
43770,20202021,35.0,2021-05-08T14:00:00Z,Crystal Palace,Sheffield Utd,5.909090909090909,1.3216715548074411,"[950.7613976950853, 890.1629421888083]",950.7613976950853,890.1629421888083
17448,20202021,35.0,2021-05-08T14:00:00Z,Sheffield Utd,Crystal Palace,1.6,-1.0172026845060071,"[885.3733127333209, 955.5510271505727]",885.3733127333209,955.5510271505727
15057,20202021,35.0,2021-05-08T16:30:00Z,Man City,Chelsea,2.0,-0.80009199562459,"[1116.5026324514247, 1063.119225426528]",1116.5026324514247,1063.119225426528
31807,20202021,35.0,2021-05-08T16:30:00Z,Chelsea,Man City,5.0,0.8282381709860385,"[1065.5985703712495, 1114.0232875067031]",1065.5985703712495,1114.0232875067031
29417,20202021,35.0,2021-05-08T19:15:00Z,Southampton,Liverpool,1.5454545454545454,-1.0468086875352913,"[961.2693444824209, 1019.8165551109636]",961.2693444824209,1019.8165551109636
46167,20202021,35.0,2021-05-08T19:15:00Z,Liverpool,Southampton,6.454545454545454,1.6177315851002823,"[1023.039101785072, 958.0467978083125]",1023.039101785072,958.0467978083125
10275,20202021,35.0,2021-05-09T11:00:00Z,Wolves,Brighton,2.9,-0.3115929456414015,"[977.9721417102295, 1001.5525474832486]",977.9721417102295,1001.5525474832486
58134,20202021,35.0,2021-05-09T11:00:00Z,Brighton,Wolves,1.5,-1.0714803567263613,"[994.693615087685, 984.8310741057932]",994.693615087685,984.8310741057932
3098,20202021,35.0,2021-05-09T13:05:00Z,Man Utd,Aston Villa,4.2727272727272725,0.4334914639289163,"[1055.854552953931, 1011.3778459985688]",1055.854552953931,1011.3778459985688
34206,20202021,35.0,2021-05-09T13:05:00Z,Aston Villa,Man Utd,1.7272727272727273,-0.9481220107710108,"[1006.5953037644639, 1060.6370951880358]",1006.5953037644639,1060.6370951880358
55745,20202021,35.0,2021-05-09T15:30:00Z,Everton,West Ham,5.636363636363637,1.1736415396610205,"[1015.3293343029875, 1023.9451173367745]",1015.3293343029875,1023.9451173367745
19851,20202021,35.0,2021-05-09T15:30:00Z,West Ham,Everton,1.7777777777777777,-0.9207090450031551,"[1018.0477155014745, 1021.2267361382875]",1018.0477155014745,1021.2267361382875
53354,20202021,35.0,2021-05-09T18:00:00Z,Arsenal,West Brom,4.6,0.6111274821046212,"[1001.3963741005845, 950.6030498285605]",1001.3963741005845,950.6030498285605
709,20202021,35.0,2021-05-09T18:00:00Z,West Brom,Arsenal,2.5,-0.5287036345228185,"[947.6110919993091, 1004.3883319298359]",947.6110919993091,1004.3883319298359
12676,20202021,35.0,2021-05-10T19:00:00Z,Fulham,Burnley,1.5,-1.0714803567263613,"[949.718634203927, 981.4972565254734]",949.718634203927,981.4972565254734
22247,20202021,35.0,2021-05-10T19:00:00Z,Burnley,Fulham,6.2727272727272725,1.519044908336002,"[984.818278689536, 946.3976120398644]",984.818278689536,946.3976120398644
34214,20202021,35.0,2021-05-11T17:00:00Z,Leicester,Man Utd,4.090909090909091,0.33480478716463585,"[1031.0995008438297, 1060.590232520147]",1031.0995008438297,1060.590232520147
